Kokkos GPU,Create GPU,Chunk Size,Data Size,Number of Leaves,Number of Nodes,Setup time,Leaves time,Rest time,Load time,Hashing time
0,0,134217728,1073741824,8,17,0.001924,915.079,0.38991,527.501,387.577
0,0,268435456,1073741824,4,9,0.001473,1436.2,0.455713,681.398,754.801
0,0,536870912,1073741824,2,5,0.001483,2381.25,11.3239,861.925,1519.32
0,0,1048576,1073741824,1024,2049,0.001492,384.304,0.136606,311.186,73.1172
0,0,2097152,1073741824,512,1025,0.001503,380.553,0.124042,307.577,72.976
0,0,4194304,1073741824,256,513,0.001433,384.57,0.116868,311.211,73.3585
0,0,8388608,1073741824,128,257,0.001532,418.702,0.100728,345.531,73.1703
0,0,16777216,1073741824,64,129,0.001533,564.792,0.088205,491.84,72.9511
0,0,33554432,1073741824,32,65,0.001543,673.937,0.094497,539.272,134.664
0,0,67108864,1073741824,16,33,0.001573,782.508,0.098134,582.629,199.879
0,0,134217728,1073741824,8,17,0.001603,929.375,0.391554,541.987,387.388
0,0,268435456,1073741824,4,9,0.001503,1322.9,15.9714,562.016,760.879
0,0,536870912,1073741824,2,5,0.001413,2355.03,0.468978,860.038,1494.99
0,0,1048576,1073741824,1024,2049,0.001433,401.368,0.137958,328.64,72.728
0,0,2097152,1073741824,512,1025,0.001633,386.676,0.125075,313.536,73.1396
0,0,4194304,1073741824,256,513,0.001553,399.087,0.136275,326.043,73.0426
0,0,8388608,1073741824,128,257,0.001683,423.663,0.10136,350.48,73.1828
0,0,16777216,1073741824,64,129,0.001513,500.964,0.091121,427.87,73.0929
0,0,33554432,1073741824,32,65,0.001653,762.152,0.090058,658.235,103.916
0,0,67108864,1073741824,16,33,0.001422,713.575,0.103794,516.358,197.216
0,0,134217728,1073741824,8,17,0.001473,967.142,0.388908,580.216,386.925
0,0,268435456,1073741824,4,9,0.001543,1445.12,0.413084,690.454,754.663
0,0,536870912,1073741824,2,5,0.001433,2374.36,0.339275,876.425,1497.93
0,1,1048576,1073741824,1024,2049,0.001713,405.677,0.141625,332.882,72.7947
0,1,2097152,1073741824,512,1025,0.001542,429.647,0.129722,356.887,72.7594
0,1,4194304,1073741824,256,513,0.001433,440.258,5.72541,358.34,81.9163
0,1,1048576,1073741824,1024,2049,0.001613,413.727,0.139711,340.641,73.0857
0,1,2097152,1073741824,512,1025,0.001373,416.451,8.52021,336.73,79.7197
0,1,4194304,1073741824,256,513,0.001512,427.02,0.114384,353.794,73.2255
0,1,8388608,1073741824,128,257,0.001593,436.354,0.102092,363.191,73.1621
0,1,16777216,1073741824,64,129,0.001393,558.751,0.087544,485.904,72.8472
0,1,33554432,1073741824,32,65,0.001473,712.636,0.08561,578.051,134.584
0,1,67108864,1073741824,16,33,0.001453,807.445,0.101871,607.183,200.262
0,1,134217728,1073741824,8,17,0.001503,1036.09,0.352881,644.436,391.657
0,1,268435456,1073741824,4,9,0.001523,1374.8,7.26612,605.422,769.374
0,1,536870912,1073741824,2,5,0.001273,2357.7,0.327012,860.565,1497.13
0,1,1048576,1073741824,1024,2049,0.001583,402.675,0.1388,329.567,73.108
0,1,2097152,1073741824,512,1025,0.001483,400.713,0.124653,327.714,72.9986
0,1,4194304,1073741824,256,513,0.001663,392.427,0.113373,319.261,73.1651
0,1,8388608,1073741824,128,257,0.001463,408.646,0.100278,335.328,73.3171
0,1,16777216,1073741824,64,129,0.001473,559.389,0.105728,456.118,103.271
0,1,33554432,1073741824,32,65,0.001413,753.952,0.137718,637.155,116.796
0,1,67108864,1073741824,16,33,0.001422,787.536,5.24773,578.662,208.873
0,1,134217728,1073741824,8,17,0.001393,948.047,0.107581,556.453,391.593
0,1,268435456,1073741824,4,9,0.001643,1318.44,0.452888,561.612,756.823
0,1,536870912,1073741824,2,5,0.001473,2369.26,0.407042,871.911,1497.35
0,1,1048576,1073741824,1024,2049,0.001533,413.599,0.141334,340.542,73.0565
0,1,2097152,1073741824,512,1025,0.001522,422.318,5.72754,328.416,93.9012
0,1,4194304,1073741824,256,513,0.001563,423.921,0.137147,329.434,94.4871
0,1,8388608,1073741824,128,257,0.001463,422.047,0.104306,348.381,73.666
0,1,16777216,1073741824,64,129,0.001322,480.09,0.088395,407.102,72.9881
0,1,33554432,1073741824,32,65,0.001462,609.16,0.072776,499.633,109.526
0,1,67108864,1073741824,16,33,0.001453,751.744,0.114154,547.243,204.5
0,1,134217728,1073741824,8,17,0.001522,944.539,0.341709,550.35,394.189
0,1,268435456,1073741824,4,9,0.001372,1451.25,0.453217,695.476,755.771
0,1,536870912,1073741824,2,5,0.001453,2361.86,0.385571,864.484,1497.38
