Create GPU,Chunk Size,Data Size,Number of Leaves,Number of Nodes,Setup time,Leaves time,Rest time,Load time,Hashing time
0,16384,1073741824,65536,131073,0.001843,673.948,0.234921,601.316,72.632
0,32768,1073741824,32768,65537,0.001623,702.029,0.272772,628.437,73.5911
0,65536,1073741824,16384,32769,0.001643,718.544,0.243438,636.26,82.284
0,131072,1073741824,8192,16385,0.001393,477.807,0.18088,403.957,73.8492
0,262144,1073741824,4096,8193,0.001593,455.627,0.167976,382.993,72.6333
0,524288,1073741824,2048,4097,0.001553,401.416,0.153779,328.649,72.7668
0,1048576,1073741824,1024,2049,0.001593,392.678,0.137879,319.897,72.7805
0,2097152,1073741824,512,1025,0.001543,403.433,0.125415,330.596,72.8364
0,4096,1073741824,262144,524289,0.001403,964.546,0.391215,891.91,72.6356
0,8192,1073741824,131072,262145,0.001643,712.636,0.342363,628.814,83.8211
0,16384,1073741824,65536,131073,0.001934,715.782,0.250691,643.168,72.6131
0,32768,1073741824,32768,65537,0.001633,766.52,0.275156,683.451,83.0685
0,65536,1073741824,16384,32769,0.001944,651.912,0.199184,579.125,72.7864
0,131072,1073741824,8192,16385,0.001844,528.911,155.391,428.63,100.281
0,262144,1073741824,4096,8193,0.002345,488.28,0.69789,382.668,105.611
0,524288,1073741824,2048,4097,0.001693,397.932,0.163096,325.214,72.7176
0,1048576,1073741824,1024,2049,0.001452,424.164,0.136747,351.372,72.7915
0,2097152,1073741824,512,1025,0.001754,400.505,0.127048,327.53,72.9753
0,4194304,1073741824,256,513,0.001653,378.68,0.1117,305.89,72.7888
0,8388608,1073741824,128,257,0.001803,428.19,0.10146,355.282,72.9077
0,16777216,1073741824,64,129,0.001693,556.527,0.091041,484.153,72.3738
0,33554432,1073741824,32,65,0.001774,650.915,0.093736,548.707,102.207
0,671089664,1073741824,2,5,0.001873,2784.28,0.37821,911.391,1872.89
0,134217728,1073741824,8,17,0.001593,997.826,0.093926,611.183,386.643
0,4096,1073741824,262144,524289,0.001873,817.345,0.394351,738.019,79.3257
0,8192,1073741824,131072,262145,0.001543,731.168,0.313469,658.251,72.9164
0,16384,1073741824,65536,131073,0.001834,679.47,0.247805,606.56,72.9098
0,32768,1073741824,32768,65537,0.001723,727.721,0.224271,648.001,79.7194
0,65536,1073741824,16384,32769,0.001934,612.141,0.189045,536.121,76.0189
0,131072,1073741824,8192,16385,0.001724,492.415,33.2688,398.294,94.1197
0,262144,1073741824,4096,8193,0.001733,407.292,0.168917,334.292,72.9984
0,524288,1073741824,2048,4097,0.001884,394.294,0.153348,321.623,72.6706
0,1048576,1073741824,1024,2049,0.001583,422.261,0.162936,338.417,83.8437
0,2097152,1073741824,512,1025,0.001843,385.163,0.124203,312.481,72.6815
0,4194304,1073741824,256,513,0.001743,418.845,0.113503,346.165,72.6802
0,8388608,1073741824,128,257,0.001693,435.094,0.102563,362.537,72.5569
0,16777216,1073741824,64,129,0.001673,566.704,0.086722,494.096,72.6068
0,33554432,1073741824,32,65,0.001864,845.76,0.092694,742.728,103.032
0,671089664,1073741824,2,5,0.001783,2803.72,0.427793,931.97,1871.74
0,134217728,1073741824,8,17,0.001643,1010.98,0.458761,624.928,386.049
0,4096,1073741824,262144,524289,0.001854,1185.62,0.403828,1112.98,72.6361
0,8192,1073741824,131072,262145,0.001984,707.488,0.319009,634.599,72.8891
0,16384,1073741824,65536,131073,0.001984,651.169,0.243647,578.384,72.7845
0,32768,1073741824,32768,65537,0.001743,662.209,0.228319,589.476,72.7326
0,65536,1073741824,16384,32769,0.001854,531.786,0.198713,457.578,74.207
0,131072,1073741824,8192,16385,0.001803,509.976,0.219673,427.471,82.504
0,262144,1073741824,4096,8193,0.001453,454.299,0.205185,349.716,104.582
0,524288,1073741824,2048,4097,0.001623,397.947,0.14885,325.208,72.7386
0,1048576,1073741824,1024,2049,0.001593,380.479,0.137608,307.548,72.9306
0,2097152,1073741824,512,1025,0.001633,383.889,0.125595,310.978,72.9101
0,4194304,1073741824,256,513,0.001724,404.365,0.113183,331.784,72.5808
0,8388608,1073741824,128,257,0.001683,444.809,0.100359,372.388,72.4202
0,16777216,1073741824,64,129,0.001573,567.386,0.084639,494.658,72.7277
0,33554432,1073741824,32,65,0.001613,715.736,0.092714,605.526,110.209
0,671089664,1073741824,2,5,0.001804,2803.24,0.497705,932.874,1870.36
0,134217728,1073741824,8,17,0.001874,912.882,0.411403,525.267,387.614
