Chunk Size,Error,Data Size,Number of Leaves,Number of Nodes,Setup time,Leaves time,Rest time,Load time,Hashing time
268435456,0.01,7500013808,28,57,0.001553,3846.04,0.00015,2795.04,1051
268435456,0.0001,7500013808,28,57,0.001102,3766.93,0.00013,2903.79,863.133
268435456,1e-07,7500013808,28,57,0.001162,3510.25,0.000121,2650.06,860.196
536870912,0.01,7500013808,14,29,0.001082,4121.16,0.00019,3071.63,1049.52
536870912,0.0001,7500013808,14,29,0.001132,4284.29,0.000251,3423.46,860.836
536870912,1e-07,7500013808,14,29,0.001162,4123.89,0.00013,3261.73,862.163
1073741824,0.01,7500013808,7,15,0.001122,5793.34,0.00017,3916.82,1876.51
1073741824,0.0001,7500013808,7,15,0.001133,5563.98,0.00012,3907.53,1656.45
1073741824,1e-07,7500013808,7,15,0.001382,5566.59,0.00012,3913.5,1653.09
268435456,0.01,7500013808,28,57,0.001222,4024.84,0.00015,2974.76,1050.07
268435456,0.0001,7500013808,28,57,0.001133,3748.79,0.00014,2886.73,862.062
268435456,1e-07,7500013808,28,57,0.001143,3816.76,0.00025,2947.42,869.338
536870912,0.01,7500013808,14,29,0.001142,4170.93,0.000141,3121.72,1049.21
536870912,0.0001,7500013808,14,29,0.001242,3621.77,0.00013,2757.08,864.69
536870912,1e-07,7500013808,14,29,0.001643,3876.56,0.00013,3017.92,858.638
1073741824,0.01,7500013808,7,15,0.001202,5668.97,0.000261,3788.54,1880.43
1073741824,0.0001,7500013808,7,15,0.001132,5586.51,0.000121,3930.17,1656.34
1073741824,1e-07,7500013808,7,15,0.001353,5597.45,0.00012,3944.7,1652.75
2147483648,0.01,7500013808,4,9,0.001142,10075.6,0.00013,6569.71,3505.87
2147483648,0.0001,7500013808,4,9,0.001162,9762.83,0.000351,6487.35,3275.48
2147483648,1e-07,7500013808,4,9,0.001182,10084.3,0.000141,6811.18,3273.07
4294967296,0.01,7500013808,2,5,0.001092,7255.47,0.00013,2325.95,4929.53
4294967296,0.0001,7500013808,2,5,0.001143,7071.44,0.00014,2368.81,4702.63
4294967296,1e-07,7500013808,2,5,0.001163,7005.67,0.00024,2305.61,4700.06
268435456,0.01,7497964768,28,57,0.001082,3965.69,0.000181,2653.21,1312.48
268435456,0.0001,7497964768,28,57,0.001162,3866.12,0.00017,2997.76,868.364
268435456,1e-07,7497964768,28,57,0.001162,3462.33,0.000131,2601.9,860.431
536870912,0.01,7497964768,14,29,0.001203,4464.44,0.00016,3158.17,1306.27
536870912,0.0001,7497964768,14,29,0.001242,3795.37,0.000131,2929.2,866.165
536870912,1e-07,7497964768,14,29,0.001232,4324.55,0.00014,3457.23,867.322
1073741824,0.01,7497964768,7,15,0.001353,5896.76,0.000321,3801.24,2095.51
1073741824,0.0001,7497964768,7,15,0.001523,5456.66,0.00013,3794.52,1662.14
1073741824,1e-07,7497964768,7,15,0.001152,5385.37,0.00013,3731.45,1653.92
2147483648,0.01,7497964768,4,9,0.001202,9896.11,0.000181,6161.64,3734.46
2147483648,0.0001,7497964768,4,9,0.001152,9654,0.000131,6372.83,3281.17
2147483648,1e-07,7497964768,4,9,0.001203,9326.87,0.00013,6054.72,3272.16
4294967296,0.01,7497964768,2,5,0.001172,7434.63,0.00014,2295.83,5138.8
4294967296,0.0001,7497964768,2,5,0.001172,7017.06,0.00014,2306.93,4710.12
4294967296,1e-07,7497964768,2,5,0.001463,6979.03,0.0002,2281.83,4697.2
268435456,0.01,7501748464,28,57,0.001302,4195.49,0.000171,3212.17,983.318
268435456,0.0001,7501748464,28,57,0.001783,3526.55,0.00014,2664.12,862.432
268435456,1e-07,7501748464,28,57,0.001303,17718.4,0.00013,16862.8,855.577
536870912,0.01,7501748464,14,29,0.001132,12238.8,0.000351,11255,983.822
536870912,0.0001,7501748464,14,29,0.001182,3914.31,0.000131,3050.85,863.459
536870912,1e-07,7501748464,14,29,0.001112,3721.27,0.00013,2861.85,859.414
1073741824,0.01,7501748464,7,15,0.001132,5758.91,0.00018,3938.63,1820.28
1073741824,0.0001,7501748464,7,15,0.001383,5512.23,0.00013,3851.87,1660.36
1073741824,1e-07,7501748464,7,15,0.001292,5799.57,0.00013,4145.79,1653.78
2147483648,0.01,7501748464,4,9,0.001192,9763.38,0.000131,6325.69,3437.7
2147483648,0.0001,7501748464,4,9,0.001152,9956.1,0.00014,6684.16,3271.94
2147483648,1e-07,7501748464,4,9,0.001573,9989.56,0.00013,6718.22,3271.34
4294967296,0.01,7501748464,2,5,0.001293,7228.41,0.00019,2357.65,4870.77
4294967296,0.0001,7501748464,2,5,0.001442,6996.18,0.0003,2291.82,4704.36
4294967296,1e-07,7501748464,2,5,0.001683,7023,0.000181,2324.7,4698.3
